model,task,method,shot,bleu,bleu_min,bleu_max,em,em_min,em_max,codebleu,codebleu_min,codebleu_max
gpt-20b,Cs2Java,naive,3-shot,bleu,25.5200,32.5700,em,34.0000,43.1000,codebleu,57.6776,63.7361
gpt-20b,Cs2Java,retrieval,3-shot,bleu,39.2500,43.0600,em,56.0000,59.7000,codebleu,70.1458,70.5547
gpt-20b,Cs2Java,zero,0-shot,bleu,21.8700,24.6300,em,14.2000,15.6000,codebleu,54.0260,55.4526
gpt-20b,Java2Cs,naive,3-shot,bleu,31.3500,44.3600,em,32.5000,36.3000,codebleu,65.1544,69.1046
gpt-20b,Java2Cs,retrieval,3-shot,bleu,36.3200,47.3800,em,51.7000,55.8000,codebleu,70.9439,74.5764
gpt-20b,Java2Cs,zero,0-shot,bleu,26.1000,36.6500,em,6.3000,9.2000,codebleu,47.6364,49.4135
qwen2.5-1.5b,Cs2Java,naive,3-shot,bleu,69.7100,79.1500,em,43.8000,45.8000,codebleu,77.3380,81.0581
qwen2.5-1.5b,Cs2Java,retrieval,3-shot,bleu,74.9100,83.6000,em,52.1000,59.0000,codebleu,81.3266,84.2460
qwen2.5-1.5b,Cs2Java,zero,0-shot,bleu,47.5800,58.8300,em,13.1000,17.3000,codebleu,64.2310,68.2470
qwen2.5-1.5b,Java2Cs,naive,3-shot,bleu,75.0300,76.9500,em,32.1000,35.0000,codebleu,75.4919,77.3854
qwen2.5-1.5b,Java2Cs,retrieval,3-shot,bleu,71.6200,85.4000,em,35.3000,53.1000,codebleu,70.1955,85.9052
qwen2.5-1.5b,Java2Cs,zero,0-shot,bleu,50.1700,56.1700,em,4.6000,8.2000,codebleu,52.6495,54.9235
qwen2.5-14b,Cs2Java,naive,3-shot,bleu,72.7000,82.6700,em,35.5000,49.9000,codebleu,77.3417,83.6026
qwen2.5-14b,Cs2Java,retrieval,3-shot,bleu,78.5300,89.2000,em,51.0000,67.1000,codebleu,81.9651,88.8859
qwen2.5-14b,Cs2Java,zero,0-shot,bleu,61.3300,64.4200,em,22.2000,23.2000,codebleu,69.5030,71.6279
qwen2.5-14b,Java2Cs,naive,3-shot,bleu,79.5700,79.7600,em,36.8000,37.4000,codebleu,79.8581,80.0860
qwen2.5-14b,Java2Cs,retrieval,3-shot,bleu,87.9500,88.8400,em,60.8000,63.2000,codebleu,88.0418,88.9980
qwen2.5-14b,Java2Cs,zero,0-shot,bleu,56.4900,59.0700,em,10.5000,11.2000,codebleu,56.2741,57.7752
qwen2.5-32b,Cs2Java,naive,3-shot,bleu,79.5900,82.6200,em,27.5000,50.2000,codebleu,82.0710,83.6791
qwen2.5-32b,Cs2Java,retrieval,3-shot,bleu,79.6400,88.4500,em,42.0000,66.3000,codebleu,82.7670,88.0626
qwen2.5-32b,Cs2Java,zero,0-shot,bleu,60.6100,62.7900,em,21.9000,22.9000,codebleu,69.3838,71.0436
qwen2.5-32b,Java2Cs,naive,3-shot,bleu,79.8400,80.1400,em,37.5000,39.5000,codebleu,80.4214,80.7725
qwen2.5-32b,Java2Cs,retrieval,3-shot,bleu,86.7500,88.6000,em,55.3000,61.4000,codebleu,86.7318,88.8646
qwen2.5-32b,Java2Cs,zero,0-shot,bleu,57.4700,59.2700,em,9.5000,11.5000,codebleu,56.9566,58.1645
qwen2.5-3b,Cs2Java,naive,3-shot,bleu,74.4300,81.2700,em,41.5000,47.5000,codebleu,76.5141,82.2574
qwen2.5-3b,Cs2Java,retrieval,3-shot,bleu,83.1700,88.1700,em,56.8000,64.3000,codebleu,83.6708,87.5847
qwen2.5-3b,Cs2Java,zero,0-shot,bleu,56.0100,60.2700,em,9.3000,16.4000,codebleu,66.2382,69.7190
qwen2.5-3b,Java2Cs,naive,3-shot,bleu,76.5300,77.9800,em,32.6000,36.6000,codebleu,77.4281,78.9111
qwen2.5-3b,Java2Cs,retrieval,3-shot,bleu,85.3600,86.6500,em,54.0000,58.6000,codebleu,85.7413,87.2799
qwen2.5-3b,Java2Cs,zero,0-shot,bleu,58.1500,58.7200,em,7.7000,8.6000,codebleu,56.7322,57.2432
qwen2.5-7b,Cs2Java,naive,3-shot,bleu,81.8400,82.4200,em,48.9000,50.0000,codebleu,82.7479,83.5922
qwen2.5-7b,Cs2Java,retrieval,3-shot,bleu,83.8600,87.8600,em,58.4000,64.2000,codebleu,84.8244,87.7897
qwen2.5-7b,Cs2Java,zero,0-shot,bleu,57.1300,61.5200,em,19.4000,20.8000,codebleu,66.6658,69.2776
qwen2.5-7b,Java2Cs,naive,3-shot,bleu,78.4100,79.0600,em,34.1000,34.6000,codebleu,79.0843,79.6128
qwen2.5-7b,Java2Cs,retrieval,3-shot,bleu,86.4200,88.5800,em,58.2000,62.2000,codebleu,86.6966,89.0589
qwen2.5-7b,Java2Cs,zero,0-shot,bleu,55.7600,57.8000,em,8.8000,9.0000,codebleu,55.6075,57.0305
